option analize...
confguration analyze... : ysd-path-planner.conf
YPSpur max velocity : 0.7
YPSpur max acceleration : 3.14
YPSpur max angle velocity : 0.7
YPSpur max angle acceleration : 2
YPSpur Spur_near_pos detection angle : 3
restart que pipe path : [string data]
Pre-Crash Safety Margin x : 0.6
Pre-Crash Safety Margin y : 0.3
Potential method repulsion detection distance : 0
Potential method gravity gain : 0
Potential method repulsion gain : 0
Potential method launch time : 0
sokuiki_fs SSM id : 0
route file opened : Release/keiro.dat
1 route found
route[0]: 5 waypoints
waypoint[0][  0] x:0.000	y:0.000	 way:1 stop:0 goal:0
waypoint[0][  1] x:2.000	y:0.000	 way:1 stop:0 goal:0
waypoint[0][  2] x:2.000	y:1.000	 way:1 stop:0 goal:0
waypoint[0][  3] x:0.000	y:1.000	 way:1 stop:0 goal:0
waypoint[0][  4] x:0.000	y:0.000	 way:1 stop:0 goal:0
スタートの位置、姿勢
原点からスタート : waypoint[0][  0] : 0.000000 0.000000 0.000000 pi
Initialize FINISHED.
Operation START...
waypoint[0][  1] : 2.000000, 0.000000, 0.000000 pi に向かいます
Spur-free mode
1.安全が確認された場合、Gキーを押してください
g
安全が確認されたので動作を再開します
[DEBUG] x: -0.009308 y: -0.000235, th: 2.606276
[DEBUG] x: -0.009308 y: -0.000235, th: 2.606276
[DEBUG] x: -0.009308 y: -0.000235, th: 2.606276
[DEBUG] x: -0.009308 y: -0.000235, th: 2.606276
[DEBUG] x: -0.009228 y: -0.000231, th: 2.596868
[DEBUG] x: -0.009194 y: -0.000230, th: 2.606306
[DEBUG] x: -0.008978 y: -0.000220, th: 2.596933
[DEBUG] x: -0.008910 y: -0.000217, th: 2.565520
[DEBUG] x: -0.008693 y: -0.000207, th: 2.606435
[DEBUG] x: -0.008523 y: -0.000199, th: 2.571907
[DEBUG] x: -0.008375 y: -0.000193, th: 2.575088
[DEBUG] x: -0.008045 y: -0.000178, th: 2.559458
[DEBUG] x: -0.007874 y: -0.000170, th: 2.581504
[DEBUG] x: -0.007749 y: -0.000165, th: 2.528105
[DEBUG] x: -0.007589 y: -0.000158, th: 2.572148
[DEBUG] x: -0.007384 y: -0.000148, th: 2.534485
[DEBUG] x: -0.007214 y: -0.000141, th: 2.562817
[DEBUG] x: -0.007020 y: -0.000132, th: 2.540866
[DEBUG] x: -0.006883 y: -0.000126, th: 2.559759
[DEBUG] x: -0.006633 y: -0.000115, th: 2.559824
[DEBUG] x: -0.006496 y: -0.000109, th: 2.553573
[DEBUG] x: -0.006257 y: -0.000098, th: 2.550492
[DEBUG] x: -0.006007 y: -0.000087, th: 2.531699
[DEBUG] x: -0.005756 y: -0.000076, th: 2.575766
[DEBUG] x: -0.005495 y: -0.000064, th: 2.541261
[DEBUG] x: -0.005165 y: -0.000049, th: 2.563347
[DEBUG] x: -0.004914 y: -0.000038, th: 2.550840
[DEBUG] x: -0.004527 y: -0.000021, th: 2.550941
[DEBUG] x: -0.004140 y: -0.000004, th: 2.576185
[DEBUG] x: -0.003799 y: 0.000012, th: 2.544843
[DEBUG] x: -0.003377 y: 0.000030, th: 2.573239
[DEBUG] x: -0.002410 y: 0.000074, th: 2.608063
[DEBUG] x: -0.001863 y: 0.000099, th: 2.595632
[DEBUG] x: -0.001226 y: 0.000128, th: 2.614656
[DEBUG] x: -0.000611 y: 0.000156, th: 2.633673
[DEBUG] x: 0.000061 y: 0.000187, th: 2.649562
[DEBUG] x: 0.000721 y: 0.000217, th: 2.674877
[DEBUG] x: 0.001393 y: 0.000249, th: 2.684480
[DEBUG] x: 0.002053 y: 0.000279, th: 2.722367
[DEBUG] x: 0.002781 y: 0.000314, th: 2.741413
[DEBUG] x: 0.003567 y: 0.000352, th: 2.776190
[DEBUG] x: 0.004352 y: 0.000390, th: 2.792108
[DEBUG] x: 0.005240 y: 0.000433, th: 2.823768
[DEBUG] x: 0.006094 y: 0.000475, th: 2.845990
[DEBUG] x: 0.007050 y: 0.000523, th: 2.877668
[DEBUG] x: 0.008040 y: 0.000573, th: 2.899925
[DEBUG] x: 0.009098 y: 0.000626, th: 2.909628
[DEBUG] x: 0.011295 y: 0.000739, th: 2.963628
[DEBUG] x: 0.012490 y: 0.000800, th: 2.992225
[DEBUG] x: 0.013673 y: 0.000862, th: 3.005104
[DEBUG] x: 0.014925 y: 0.000928, th: 3.043144
[DEBUG] x: 0.016166 y: 0.000994, th: 3.065466
[DEBUG] x: 0.017531 y: 0.001067, th: 3.072106
[DEBUG] x: 0.018840 y: 0.001137, th: 3.100732
[DEBUG] x: 0.020251 y: 0.001214, th: 3.119956
[DEBUG] x: 0.021707 y: 0.001293, th: 3.151763
[DEBUG] x: 0.023232 y: 0.001377, th: 3.171016
[DEBUG] x: 0.024711 y: 0.001459, th: 3.190257
[DEBUG] x: 0.026247 y: 0.001545, th: 3.212656
[DEBUG] x: 0.027897 y: 0.001637, th: 3.253943
[DEBUG] x: 0.029546 y: 0.001731, th: 3.282657
[DEBUG] x: 0.032959 y: 0.001927, th: 3.314972
[DEBUG] x: 0.034791 y: 0.002033, th: 3.356306
[DEBUG] x: 0.036566 y: 0.002137, th: 3.388195
[DEBUG] x: 0.038488 y: 0.002251, th: 3.410695
[DEBUG] x: 0.040354 y: 0.002362, th: 3.430036
[DEBUG] x: 0.042333 y: 0.002481, th: 3.461979
[DEBUG] x: 0.044301 y: 0.002600, th: 3.490776
[DEBUG] x: 0.046325 y: 0.002723, th: 3.529017
[DEBUG] x: 0.048395 y: 0.002851, th: 3.542126
[DEBUG] x: 0.050454 y: 0.002978, th: 3.558374
[DEBUG] x: 0.052603 y: 0.003112, th: 3.568361
[DEBUG] x: 0.054798 y: 0.003249, th: 3.584645
[DEBUG] x: 0.057028 y: 0.003389, th: 3.616652
[DEBUG] x: 0.059245 y: 0.003529, th: 3.626656
[DEBUG] x: 0.061520 y: 0.003673, th: 3.646104
[DEBUG] x: 0.066228 y: 0.003973, th: 3.691327
[DEBUG] x: 0.068593 y: 0.004126, th: 3.704512
[DEBUG] x: 0.070981 y: 0.004280, th: 3.723989
[DEBUG] x: 0.073414 y: 0.004439, th: 3.743478
[DEBUG] x: 0.075836 y: 0.004597, th: 3.778679
[DEBUG] x: 0.078383 y: 0.004765, th: 3.804483
[DEBUG] x: 0.080908 y: 0.004933, th: 3.823996
[DEBUG] x: 0.083489 y: 0.005106, th: 3.859238
[DEBUG] x: 0.083489 y: 0.005106, th: 3.859238
[DEBUG] x: 0.088843 y: 0.005467, th: 3.882628
[DEBUG] x: 0.091572 y: 0.005652, th: 3.889621
[DEBUG] x: 0.094369 y: 0.005842, th: 3.915491
[DEBUG] x: 0.097165 y: 0.006034, th: 3.928788
[DEBUG] x: 0.100030 y: 0.006231, th: 3.948389
[DEBUG] x: 0.105919 y: 0.006637, th: 3.956202
[DEBUG] x: 0.108817 y: 0.006837, th: 3.960097
[DEBUG] x: 0.111750 y: 0.007040, th: 3.954572
[DEBUG] x: 0.114683 y: 0.007243, th: 3.942760
[DEBUG] x: 0.117627 y: 0.007446, th: 3.934095
[DEBUG] x: 0.120583 y: 0.007649, th: 3.941148
