[DEBUG] x: 0.000319 y: -0.000000, th: -0.050205
[DEBUG] x: 0.000342 y: -0.000000, th: -0.050200
[DEBUG] x: 0.000421 y: -0.000000, th: -0.053322
[DEBUG] x: 0.000433 y: -0.000000, th: -0.043890
[DEBUG] x: 0.000649 y: -0.000001, th: -0.034405
[DEBUG] x: 0.000740 y: -0.000001, th: -0.072097
[DEBUG] x: 0.000968 y: -0.000001, th: -0.065752
[DEBUG] x: 0.001116 y: -0.000001, th: -0.100287
[DEBUG] x: 0.001413 y: -0.000002, th: -0.112782
[DEBUG] x: 0.001561 y: -0.000002, th: -0.103315
[DEBUG] x: 0.001766 y: -0.000002, th: -0.172408
[DEBUG] x: 0.002005 y: -0.000003, th: -0.162917
[DEBUG] x: 0.002221 y: -0.000004, th: -0.210006
[DEBUG] x: 0.002358 y: -0.000004, th: -0.191113
[DEBUG] x: 0.002540 y: -0.000005, th: -0.228781
[DEBUG] x: 0.002859 y: -0.000006, th: -0.197269
[DEBUG] x: 0.003053 y: -0.000007, th: -0.212934
[DEBUG] x: 0.003258 y: -0.000007, th: -0.187737
[DEBUG] x: 0.003440 y: -0.000008, th: -0.219119
[DEBUG] x: 0.003634 y: -0.000009, th: -0.171924
[DEBUG] x: 0.003862 y: -0.000009, th: -0.203295
[DEBUG] x: 0.004159 y: -0.000010, th: -0.178075
[DEBUG] x: 0.004352 y: -0.000011, th: -0.200026
[DEBUG] x: 0.004728 y: -0.000012, th: -0.177927
[DEBUG] x: 0.004979 y: -0.000013, th: -0.171576
[DEBUG] x: 0.005321 y: -0.000014, th: -0.190346
[DEBUG] x: 0.005663 y: -0.000015, th: -0.158828
[DEBUG] x: 0.006118 y: -0.000017, th: -0.164996
[DEBUG] x: 0.006552 y: -0.000018, th: -0.127168
[DEBUG] x: 0.007554 y: -0.000020, th: -0.101764
[DEBUG] x: 0.008090 y: -0.000021, th: -0.067053
[DEBUG] x: 0.008648 y: -0.000022, th: -0.051193
[DEBUG] x: 0.009241 y: -0.000022, th: -0.025896
[DEBUG] x: 0.009879 y: -0.000022, th: -0.013159
[DEBUG] x: 0.010506 y: -0.000023, th: 0.021576
[DEBUG] x: 0.011167 y: -0.000022, th: 0.034319
[DEBUG] x: 0.011896 y: -0.000022, th: 0.059652
[DEBUG] x: 0.012660 y: -0.000021, th: 0.075565
[DEBUG] x: 0.013458 y: -0.000020, th: 0.100915
[DEBUG] x: 0.014278 y: -0.000019, th: 0.138843
[DEBUG] x: 0.015099 y: -0.000017, th: 0.170485
[DEBUG] x: 0.015976 y: -0.000014, th: 0.217857
[DEBUG] x: 0.016911 y: -0.000010, th: 0.249529
[DEBUG] x: 0.017879 y: -0.000006, th: 0.296925
[DEBUG] x: 0.018803 y: -0.000001, th: 0.331737
[DEBUG] x: 0.020922 y: 0.000012, th: 0.439147
[DEBUG] x: 0.021994 y: 0.000020, th: 0.483426
[DEBUG] x: 0.023190 y: 0.000031, th: 0.524595
[DEBUG] x: 0.024398 y: 0.000042, th: 0.562623
[DEBUG] x: 0.025629 y: 0.000054, th: 0.600657
[DEBUG] x: 0.026928 y: 0.000067, th: 0.638710
[DEBUG] x: 0.028238 y: 0.000082, th: 0.698766
[DEBUG] x: 0.029583 y: 0.000098, th: 0.730543
[DEBUG] x: 0.030973 y: 0.000116, th: 0.768619
[DEBUG] x: 0.032375 y: 0.000135, th: 0.809841
[DEBUG] x: 0.033890 y: 0.000156, th: 0.869950
[DEBUG] x: 0.035417 y: 0.000179, th: 0.901775
[DEBUG] x: 0.037092 y: 0.000206, th: 0.936781
[DEBUG] x: 0.038722 y: 0.000232, th: 0.978062
[DEBUG] x: 0.040419 y: 0.000261, th: 1.025646
[DEBUG] x: 0.042128 y: 0.000292, th: 1.070090
[DEBUG] x: 0.045763 y: 0.000361, th: 1.168464
[DEBUG] x: 0.047597 y: 0.000399, th: 1.203511
[DEBUG] x: 0.049432 y: 0.000437, th: 1.251131
[DEBUG] x: 0.051289 y: 0.000478, th: 1.305043
[DEBUG] x: 0.053226 y: 0.000522, th: 1.355832
[DEBUG] x: 0.055117 y: 0.000567, th: 1.394037
[DEBUG] x: 0.057133 y: 0.000616, th: 1.429132
[DEBUG] x: 0.059127 y: 0.000665, th: 1.476793
[DEBUG] x: 0.061211 y: 0.000719, th: 1.518191
[DEBUG] x: 0.063330 y: 0.000775, th: 1.556456
[DEBUG] x: 0.065472 y: 0.000834, th: 1.594726
[DEBUG] x: 0.067704 y: 0.000896, th: 1.620448
[DEBUG] x: 0.069949 y: 0.000959, th: 1.655602
[DEBUG] x: 0.072306 y: 0.001027, th: 1.697071
[DEBUG] x: 0.074630 y: 0.001096, th: 1.741674
